domain,general-css,domain-specific-css,matched-strings
netflix.com,2,0,cookie preferences,,,,,,,
microsoft.com,2,1,manage cookies,,,,,,,
amazon.com,1,0,None,,,,,,,
live.com,1,0,None,,,,,,,
pinterest.com,1,0,None,,,,,,,
doubleclick.net,2,0,None,,,,,,,
vimeo.com,2,0,None,,,,,,,
amazonaws.com,1,0,cookie preferences,,,,,,,
bit.ly,1,0,None,,,,,,,
tiktok.com,0,1,None,,,,,,,
zoom.us,6,0,cookie preferences,,,,,,,
office365.com,1,0,manage cookies,,,,,,,
spotify.com,4,2,None,,,,,,,
europa.eu,1,0,None,,,,,,,
flickr.com,1,0,None,,,,,,,
digicert.com,4,0,cookie settings,,,,,,,
skype.com,1,0,manage cookies,,,,,,,
cloudflare.com,2,0,cookie preferences,,,,,,,
soundcloud.com,3,3,consent manager,,,,,,,
ebay.com,1,0,None,,,,,,,
cnn.com,2,3,cookie settings,,,,,,,
forbes.com,2,0,None,,,,,,,
bbc.com,1,0,None,,,,,,,
stackoverflow.com,3,1,cookie settings,,,,,,,
bbc.co.uk,1,0,None,,,,,,,
etsy.com,1,0,privacy settings,,,,,,,
amazon.co.uk,0,1,None,,,,,,,
outlook.com,1,0,None,,,,,,,
weebly.com,1,0,None,,,,,,,
oracle.com,1,0,cookie preferences,,,,,,,
washingtonpost.com,1,0,cookie settings,cookie settings,,,,,,
opera.com,2,0,None,,,,,,,
reuters.com,3,0,None,,,,,,,
tinyurl.com,0,1,None,,,,,,,
dailymail.co.uk,1,0,None,,,,,,,
aliyun.com,1,0,None,,,,,,,
booking.com,1,0,None,,,,,,,
wsj.com,0,1,None,,,,,,,
freepik.com,4,0,cookies settings,,,,,,,
amazon.de,0,1,None,,,,,,,
nginx.com,4,0,cookie preferences,,,,,,,
nature.com,2,0,manage cookies,,,,,,,
opendns.com,4,0,None,,,,,,,
springer.com,1,0,manage cookies,,,,,,,
discord.com,2,0,cookie settings,,,,,,,
tencent.com,1,0,None,,,,,,,
ibm.com,4,0,cookie preferences,,,,,,,
hp.com,3,0,None,,,,,,,
cnbc.com,2,0,None,,,,,,,
slideshare.net,1,0,cookie preferences,,,,,,,
linktr.ee,3,0,cookie preferences,,,,,,,
samsung.com,2,0,None,,,,,,,
go.com,3,0,None,,,,,,,
gov.uk,3,0,None,,,,,,,
windows.com,1,0,manage cookies,,,,,,,
mediafire.com,4,0,None,,,,,,,
cnet.com,3,0,cookie settings,manage cookies,,,,,,
eventbrite.com,1,0,None,,,,,,,
force.com,3,0,cookie preferences,,,,,,,
deepl.com,3,0,None,,,,,,,
time.com,3,2,None,,,,,,,
pki.goog,2,0,None,,,,,,,
npr.org,3,0,None,,,,,,,
surveymonkey.com,4,0,cookies preferences,,,,,,,
hubspot.com,1,0,None,,,,,,,
wired.com,3,2,cookies settings,,,,,,,
ted.com,2,0,None,,,,,,,
fiverr.com,1,0,None,,,,,,,
yelp.com,2,0,None,,,,,,,
statista.com,3,0,None,,,,,,,
azure.com,1,0,manage cookies,,,,,,,
mysql.com,1,0,cookie preferences,,,,,,,
onlyfans.com,1,0,None,,,,,,,
foxnews.com,1,0,None,,,,,,,
