netflix.com,#onetrust-consent-sdk,.onetrust-pc-dark-filter
microsoft.com,#uhfCookieAlert,div.cookie-banner,#epb
amazon.com,#desktop-banner-stripe
live.com,#msccBanner
pinterest.com,.grecaptcha-badge
doubleclick.net,#cookieBar,.cookieBarInner
vimeo.com,#onetrust-consent-sdk,.onetrust-pc-dark-filter
amazonaws.com,#awsccc-sb-ux-c
bit.ly,#banner-cookie
tiktok.com,tiktok-cookie-banner
zoom.us,#consent_blackbar,#onetrust-banner-sdk,#onetrust-consent-sdk,#teconsent,.onetrust-pc-dark-filter,.ot-sdk-show-settings
office365.com,#uhfCookieAlert
spotify.com,#onetrust-banner-sdk,#onetrust-consent-sdk,.grecaptcha-badge,.onetrust-pc-dark-filter,#onetrust-consent-sdk,.onetrust-pc-dark-filter
europa.eu,#cookie-consent-banner
flickr.com,.cookie-banner-view
digicert.com,#onetrust-banner-sdk,#onetrust-consent-sdk,.onetrust-pc-dark-filter,.optanon-show-settings
skype.com,#uhfCookieAlert
cloudflare.com,#onetrust-consent-sdk,.onetrust-pc-dark-filter
soundcloud.com,#onetrust-banner-sdk,#onetrust-consent-sdk,.onetrust-pc-dark-filter,.announcements,#onetrust-consent-sdk,.onetrust-pc-dark-filter
ebay.com,#gh-gb
cnn.com,#onetrust-consent-sdk,.onetrust-pc-dark-filter,.user-msg,#onetrust-consent-sdk,.onetrust-pc-dark-filter
forbes.com,#consent_blackbar,#teconsent
bbc.com,iframe[name="googlefcPresent"]
stackoverflow.com,#onetrust-banner-sdk,#onetrust-consent-sdk,.js-consent-banner,#onetrust-consent-sdk
bbc.co.uk,iframe[name="googlefcPresent"]
etsy.com,div[data-gdpr-consent-prompt]
amazon.co.uk,#sp-cc
outlook.com,#msccBanner
weebly.com,.grecaptcha-badge
oracle.com,#teconsent
washingtonpost.com,.grecaptcha-badge
opera.com,#cookie-consent,.cookie-consent__wrapper
reuters.com,#cookie-preferences,#onetrust-consent-sdk,.onetrust-pc-dark-filter
tinyurl.com,.alert
dailymail.co.uk,iframe[name="googlefcPresent"]
aliyun.com,#consent_blackbar
booking.com,.grecaptcha-badge
wsj.com,#cx-notification
freepik.com,#onetrust-banner-sdk,#onetrust-consent-sdk,.onetrust-pc-dark-filter,.ot-sdk-show-settings
amazon.de,#sp-cc
nginx.com,#consent_blackbar,#nx_gdpr_modal2,#nx_gdpr_modal_main2,#teconsent
nature.com,.cc-banner,.optanon-toggle-display
opendns.com,#onetrust-banner-sdk,#onetrust-consent-sdk,.onetrust-pc-dark-filter,.ot-sdk-show-settings
springer.com,.cc-banner
discord.com,#onetrust-consent-sdk,.onetrust-pc-dark-filter
tencent.com,.cookie-pop
ibm.com,#consent-banner,#consent_blackbar,#teconsent,#truste-consent-track
hp.com,#onetrust-banner-sdk,#onetrust-consent-sdk,.onetrust-pc-dark-filter
cnbc.com,#onetrust-consent-sdk,.onetrust-pc-dark-filter
slideshare.net,.osano-cm-window
linktr.ee,#onetrust-consent-sdk,.onetrust-pc-dark-filter,.ot-sdk-show-settings
samsung.com,.cookie-bar--type-manage,div.cookie-bar
go.com,#onetrust-consent-sdk,.onetrust-pc-dark-filter,.ot-sdk-show-settings
gov.uk,#global-cookie-message,.gem-c-cookie-banner,.govuk-cookie-banner
windows.com,#cookie-banner
mediafire.com,#cookie-accept-footer,.CookieAcceptance,.grecaptcha-badge,iframe[name="googlefcPresent"]
cnet.com,#onetrust-consent-sdk,.onetrust-pc-dark-filter,.ot-sdk-show-settings
eventbrite.com,.eds-notification-bar
force.com,#onetrust-consent-sdk,.onetrust-pc-dark-filter,.optanon-toggle-display
deepl.com,#dl_cookieBanner,.dl_cookieBanner_container,.dl_cookieBanner_outer
time.com,#onetrust-consent-sdk,.grecaptcha-badge,.onetrust-pc-dark-filter,#onetrust-consent-sdk,.onetrust-pc-dark-filter
pki.goog,#cookieBar,.cookieBarInner
npr.org,#onetrust-banner-sdk,#onetrust-consent-sdk,.onetrust-pc-dark-filter
surveymonkey.com,#onetrust-consent-sdk,.grecaptcha-badge,.onetrust-pc-dark-filter,.ot-sdk-show-settings
hubspot.com,#hs-eu-cookie-confirmation
wired.com,#onetrust-consent-sdk,.onetrust-pc-dark-filter,.ot-sdk-show-settings,#onetrust-consent-sdk,.onetrust-pc-dark-filter
ted.com,#onetrust-consent-sdk,.onetrust-pc-dark-filter
fiverr.com,.cookie-warning
yelp.com,#onetrust-consent-sdk,.onetrust-pc-dark-filter
statista.com,#onetrust-banner-sdk,#onetrust-consent-sdk,.onetrust-pc-dark-filter
azure.com,#cookie-banner
mysql.com,#teconsent
onlyfans.com,.b-cookies-informer
foxnews.com,iframe[name="googlefcPresent"]
zendesk.com,#onetrust-banner-sdk,#onetrust-consent-sdk,.onetrust-pc-dark-filter,.ot-sdk-show-settings,div.privacy-notice
indiatimes.com,.consent-container,.cookie-box
mailchimp.com,#onetrust-banner-sdk,#onetrust-consent-sdk,.onetrust-pc-dark-filter
tripadvisor.com,#onetrust-consent-sdk,.onetrust-pc-dark-filter
slack.com,#onetrust-consent-sdk,.onetrust-pc-dark-filter,.optanon-show-settings,#onetrust-consent-sdk,.onetrust-pc-dark-filter
scribd.com,.osano-cm-window
deviantart.com,iframe[name="googlefcPresent"]
msn.cn,#onetrust-banner-sdk,#onetrust-consent-sdk,.onetrust-pc-dark-filter
ft.com,.o-cookie-message,.n-messaging-slot
squarespace.com,#consent_blackbar,#teconsent
bitly.com,#banner-cookie,#banner-spacer
oup.com,#cookieMessage,#oupcookiepolicy_message,.cookiepolicytext,div.cookieMessage
healthline.com,#consent-modal
tandfonline.com,#cookie-accept,#cookie-message,div.cookiePolicy
wetransfer.com,.welcome--cookies
amazon.it,#sp-cc
prnewswire.com,#onetrust-consent-sdk,.onetrust-pc-dark-filter
salesforce.com,#onetrust-consent-sdk,.onetrust-pc-dark-filter,.optanon-toggle-display
speedtest.net,#consent_blackbar,#onetrust-banner-sdk,#onetrust-consent-sdk,.onetrust-pc-dark-filter,.privacy-update,[data-view-name="privacy-updated-notice"],.notification-container
shutterstock.com,#onetrust-consent-sdk,.onetrust-pc-dark-filter
android.com,.js-cookie-banner,section.cookie-banner
cisco.com,#onetrust-banner-sdk,#onetrust-consent-sdk,.onetrust-pc-dark-filter,.ot-sdk-show-settings
hugedomains.com,.cky-consent-bar,.grecaptcha-badge
huawei.com,.ReadPolicy
epicgames.com,.cookie-warning
amazon.fr,#sp-cc
cambridge.org,#onetrust-banner-sdk,#onetrust-consent-sdk,.onetrust-pc-dark-filter
ampproject.org,#consent-popup,.consent-popup,amp-consent
livejournal.com,iframe[name="googlefcPresent"]
nbcnews.com,#onetrust-consent-sdk,.onetrust-pc-dark-filter,.ot-sdk-show-settings
intel.com,#onetrust-consent-sdk,.footer-disclaimer,.onetrust-pc-dark-filter
sagepub.com,.cc-cookies
dell.com,.cc-bottom.cc-floating.cc-window
intuit.com,#gdpr-widget
roblox.com,#cookie-banner-wrapper,div.cookie-banner-wrapper
bandcamp.com,.grecaptcha-badge,.corp-banners
instructure.com,#onetrust-banner-sdk,#onetrust-consent-sdk,.onetrust-pc-dark-filter
business.site,#cookieBar,.cookieBarInner,section.cookie-banner
ikea.com,#onetrust-banner-sdk,#onetrust-consent-sdk,.cookie-privacy,.onetrust-pc-dark-filter
mailchi.mp,#onetrust-banner-sdk,#onetrust-consent-sdk,.onetrust-pc-dark-filter
uol.com.br,.banner-lgpd-consent,.banner-lgpd-consent-container,iframe[name="googlefcPresent"]
sedo.com,.cookie--visible,.cookie__content,.cookie__wrapper
hbr.org,.grecaptcha-badge,iframe[name="googlefcPresent"]
marriott.com,#onetrust-consent-sdk,#ot-sdk-btn:not(button),#teconsent,.onetrust-pc-dark-filter,.ot-sdk-show-settings
addthis.com,#consent_blackbar,#teconsent
criteo.com,#onetrust-banner-sdk,#onetrust-consent-sdk,.onetrust-pc-dark-filter
binance.com,#onetrust-consent-sdk,.onetrust-pc-dark-filter
unesco.org,.cookies-content,div.eu-cookie-compliance-banner,div.eu-cookie-compliance-banner-info
nypost.com,#onetrust-consent-sdk,.grecaptcha-badge,.onetrust-pc-dark-filter,.ot-sdk-show-settings
calendly.com,#onetrust-banner-sdk,#onetrust-consent-sdk,.onetrust-pc-dark-filter,.ot-sdk-show-settings,#onetrust-consent-sdk,.onetrust-pc-dark-filter
